"Name","Delay(1/60)"
"launch1","1"
"Copy_Copy_launch1","1"
"Copy_launch1","1"
"Copy_Copy_Copy_launch1","1"
"Copy_Copy_launch1","1"
"Copy_launch1","1"
"launch1","1"
"Copy_Copy_launch1","1"
"Copy_launch1","1"
"Copy_Copy_Copy_launch1","1"
"Copy_Copy_launch1","1"
"Copy_launch2","1"
"launch2","1"
"Copy_Copy_launch2","1"
"Copy_launch2","1"
"Copy_Copy_Copy_launch2","1"
"Copy_Copy_launch2","1"
"Copy_launch3","1"
"launch3","1"
"Copy_Copy_launch3","1"
"Copy_launch3","1"
"Copy_Copy_Copy_launch3","1"
"Copy_Copy_launch3","1"
"Copy_peak","1"
"peak","1"
"Copy_Copy_peak","1"
"Copy_peak","1"
"Copy_Copy_Copy_peak","1"
"Copy_Copy_peak","1"
"Copy_peak","1"
"peak","1"
"Copy_Copy_peak","1"
"Copy_peak","1"
"Copy_Copy_Copy_peak","1"
"Copy_Copy_peak","1"
"Copy_fall1","1"
"fall1","1"
"Copy_Copy_fall1","1"
"Copy_fall1","1"
"Copy_Copy_Copy_fall1","1"
"Copy_Copy_fall1","1"
"Copy_fall2","1"
"fall2","1"
"Copy_Copy_fall2","1"
"Copy_fall2","1"
"Copy_Copy_Copy_fall2","1"
"Copy_Copy_fall2","1"
"Copy_fall3","1"
"fall3","1"
